t_epoch_s,t_mono_ns,ch1_pct,ch2_pct,ch3_pct,ch4_pct,ch5_pct,ch6_pct,ch7_pct,ch8_pct
1764424537.919003,1508175954304,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.929898,1508186850795,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.938833,1508195784295,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.947569,1508204520913,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.956504,1508213454830,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.965393,1508222345163,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.974145,1508231096656,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.982938,1508239889568,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424537.991791,1508248742566,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.000605,1508257557062,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.009435,1508266386725,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.018245,1508275197137,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.027079,1508284030884,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.038033,1508294984835,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.046846,1508303798164,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.055644,1508312595451,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.064429,1508321380488,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.073246,1508330197026,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.081996,1508338947353,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.090760,1508347712263,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.099560,1508356511884,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.108368,1508365319671,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.117154,1508374105875,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.128066,1508385017824,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.136909,1508393860613,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.145753,1508402704568,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.154547,1508411498938,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.163350,1508420302059,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.172137,1508429088262,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.180885,1508437836547,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.189878,1508446828967,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.198729,1508455680797,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.207524,1508464476043,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.216334,1508473285289,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.225118,1508482070033,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.236044,1508492995692,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.244903,1508501855106,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.253712,1508510663185,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.262503,1508519454930,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.271299,1508528251051,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.280086,1508537037546,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.288893,1508545844458,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.297708,1508554659537,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.306494,1508563445449,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.315445,1508572397033,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.324233,1508581184987,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.333286,1508590237492,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.342077,1508599028653,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.351052,1508608003572,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.362032,1508618982899,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.370931,1508627882273,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.379854,1508636805565,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.388739,1508645690647,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.397504,1508654455849,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.406332,1508663283763,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.415139,1508672090383,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.423924,1508680875420,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.432710,1508689662206,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.441498,1508698449576,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.450300,1508707251530,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.459094,1508716045609,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.470017,1508726968642,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.478810,1508735761554,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.487563,1508744514798,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.496474,1508753424964,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.505366,1508762317338,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.514317,1508771268631,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.523386,1508780337178,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.532279,1508789231010,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.541087,1508798038506,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.549836,1508806787666,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.558731,1508815682957,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.567567,1508824518745,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.576617,1508833568917,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.585388,1508842339953,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.594266,1508851218034,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.603172,1508860123242,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.612060,1508869011824,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.622980,1508879931941,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.631934,1508888885567,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.640990,1508897941572,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.649945,1508906896948,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.658737,1508915688693,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.667485,1508924436103,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.676242,1508933193139,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.685057,1508942008510,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.693856,1508950808130,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.702652,1508959603084,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.711439,1508968390162,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.720226,1508977177241,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.729027,1508985978319,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.739947,1508996898727,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.748780,1509005731307,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.757529,1509014481343,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.766274,1509023225544,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.775016,1509031967413,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.783822,1509040774033,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.792616,1509049567820,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.801411,1509058362482,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.810203,1509067154227,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.821106,1509078057718,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.829917,1509086868422,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.838701,1509095652292,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.847497,1509104448704,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.856301,1509113252116,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.865085,1509122036570,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.873872,1509130823648,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.882672,1509139623560,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.891459,1509148411222,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.900256,1509157207925,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.909050,1509166001712,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.919970,1509176921537,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.928854,1509185805744,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.937606,1509194557821,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.946249,1509203200227,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.955076,1509212028140,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.963868,1509220819594,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.972662,1509229614256,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.981449,1509238400167,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.990237,1509247188412,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424538.998767,1509255718523,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.009685,1509266636597,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.018491,1509275442635,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.027334,1509284285715,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.036143,1509293094669,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.044904,1509301856080,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.053701,1509310652075,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.062441,1509319392485,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.071152,1509328103644,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.081990,1509338940924,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.090730,1509347681626,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.099546,1509356497872,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.108306,1509365256949,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.117059,1509374011068,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.125831,1509382782687,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.134638,1509391589308,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.143432,1509400383970,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.152232,1509409183590,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.161021,1509417973002,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.171929,1509428880284,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
1764424539.180754,1509437706156,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000,7.500000
