t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.0100684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0300234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0600612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0700231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0800638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
