t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.010058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0300596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0600591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0700578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.080062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.460068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.610068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.680065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.730063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.840065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.870059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.890058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.920059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.940059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
