t_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.0100711,0,0,0,0,0,0,0,0
0.0201416,0,0,0,0,0,0,0,0
0.0302171,0,0,0,0,0,0,0,0
0.0402879,0,0,0,0,0,0,0,0
0.0503812,0,0,0,0,0,0,0,0
0.0604846,0,0,0,0,0,0,0,0
0.0705724,0,0,0,0,0,0,0,0
0.0806697,0,0,0,0,0,0,0,0
0.0907391,0,0,0,0,0,0,0,0
0.10081,0,0,0,0,0,0,0,0
0.110879,0,0,0,0,0,0,0,0
0.120948,0,0,0,0,0,0,0,0
0.131016,0,0,0,0,0,0,0,0
0.141084,0,0,0,0,0,0,0,0
0.151256,0,0,0,0,0,0,0,0
0.161324,0,0,0,0,0,0,0,0
0.171498,0,0,0,0,0,0,0,0
0.181673,0,0,0,0,0,0,0,0
0.191843,0,0,0,0,0,0,0,0
0.202039,0,0,0,0,0,0,0,0
0.21223,0,0,0,0,0,0,0,0
0.222426,0,0,0,0,0,0,0,0
0.232599,0,0,0,0,0,0,0,0
0.242745,0,0,0,0,0,0,0,0
0.252825,0,0,0,0,0,0,0,0
0.262922,0,0,0,0,0,0,0,0
0.273017,0,0,0,0,0,0,0,0
0.283335,0,0,0,0,0,0,0,0
0.293477,0,0,0,0,0,0,0,0
0.303548,0,0,0,0,0,0,0,0
0.313618,0,0,0,0,0,0,0,0
0.323689,0,0,0,0,0,0,0,0
0.333758,0,0,0,0,0,0,0,0
0.343829,0,0,0,0,0,0,0,0
0.353905,0,0,0,0,0,0,0,0
0.36398,0,0,0,0,0,0,0,0
0.374062,0,0,0,0,0,0,0,0
0.384131,0,0,0,0,0,0,0,0
0.394206,0,0,0,0,0,0,0,0
0.404281,0,0,0,0,0,0,0,0
0.414354,0,0,0,0,0,0,0,0
0.424422,0,0,0,0,0,0,0,0
0.43449,0,0,0,0,0,0,0,0
0.444569,0,0,0,0,0,0,0,0
0.454737,0,0,0,0,0,0,0,0
0.464906,0,0,0,0,0,0,0,0
0.475107,0,0,0,0,0,0,0,0
0.485281,0,0,0,0,0,0,0,0
0.495456,0,0,0,0,0,0,0,0
0.505535,0,0,0,0,0,0,0,0
0.515708,0,0,0,0,0,0,0,0
0.525796,0,0,0,0,0,0,0,0
0.53597,0,0,0,0,0,0,0,0
0.546145,0,0,0,0,0,0,0,0
0.556325,0,0,0,0,0,0,0,0
0.56642,0,0,0,0,0,0,0,0
0.576596,0,0,0,0,0,0,0,0
0.586683,0,0,0,0,0,0,0,0
0.596758,0,0,0,0,0,0,0,0
0.606936,0,0,0,0,0,0,0,0
0.617024,0,0,0,0,0,0,0,0
0.627102,0,0,0,0,0,0,0,0
0.637177,0,0,0,0,0,0,0,0
0.647356,0,0,0,0,0,0,0,0
0.65744,0,0,0,0,0,0,0,0
0.667618,0,0,0,0,0,0,0,0
0.677823,0,0,0,0,0,0,0,0
0.687998,0,0,0,0,0,0,0,0
0.698176,0,0,0,0,0,0,0,0
0.708354,0,0,0,0,0,0,0,0
0.718443,0,0,0,0,0,0,0,0
0.728622,0,0,0,0,0,0,0,0
0.738799,0,0,0,0,0,0,0,0
0.748978,0,0,0,0,0,0,0,0
