t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.0100661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0300546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0600583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0700579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0800608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.460064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
