t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.0100655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0300591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0600585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0700581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0800649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
