t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.460059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.510065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.540058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.610064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
