t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.0100657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0300602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0400599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0500601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0600603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0800636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0900587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.110059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.120061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.130058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.140059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.170059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
