t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.200061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.320062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.420064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.460059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.50006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.520058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.540061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.680064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.690067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.730068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.780061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.840061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.890064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.91006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.920058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.940058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.96006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.970059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.980059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.990059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.15006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.19006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.25001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.27007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.30006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.31007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.32006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.33007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.35007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.36006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.37006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.38006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
