t_s,ch1_cmd,ch2_cmd,ch3_cmd,ch4_cmd,ch5_cmd,ch6_cmd,ch7_cmd,ch8_cmd,ch1_applied,ch2_applied,ch3_applied,ch4_applied,ch5_applied,ch6_applied,ch7_applied,ch8_applied
0.200071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.330063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.340059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.350058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.360063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.370065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.380059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.390058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.430061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.440059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.470061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.480059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.500069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.510061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.540058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.550061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.560067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.570067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.610061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.620062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.630062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.640065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.650059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.670068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.680059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.690058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.700063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.710065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.720059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.730058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.740061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.760057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.770058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.780058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.790058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.800058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.840058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.850059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.860058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.870058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.880062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.890063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.920058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.930063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.940058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.950064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.960058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.970066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
